,TEMPORADA_ALTA,DIF_MIN,ATRASO_15,PERIODO_DIA
582,0,12,0,noche
583,0,16,1,noche
584,1,8,0,noche
585,1,91,1,noche
586,1,14,0,noche
587,1,13,0,noche
588,1,6,0,noche
589,1,11,0,noche
590,1,3,0,noche
591,1,23,1,noche
592,1,0,0,noche
593,1,0,0,noche
594,1,4,0,noche
595,1,4,0,noche
596,1,1,0,noche
597,0,18,1,noche
598,0,8,0,noche
599,1,23,1,noche
600,1,12,0,noche
601,1,14,0,noche
602,0,15,0,mañana
603,0,1,0,mañana
604,1,58,1,tarde
605,0,0,0,noche
606,0,0,0,noche
607,0,0,0,noche
608,0,0,0,noche
609,0,0,0,noche
610,0,0,0,noche
611,0,0,0,noche
612,0,0,0,noche
613,0,48,1,noche
614,0,0,0,mañana
615,0,5,0,mañana
616,0,0,0,noche
617,0,7,0,mañana
618,0,0,0,mañana
619,0,0,0,mañana
620,0,0,0,noche
621,0,0,0,noche
622,0,0,0,noche
623,0,0,0,noche
624,0,0,0,noche
625,0,0,0,noche
626,0,0,0,noche
627,0,0,0,noche
628,0,0,0,noche
629,0,0,0,noche
630,0,0,0,noche
631,0,0,0,noche
632,0,0,0,mañana
633,0,0,0,noche
634,0,20,1,noche
635,0,21,1,tarde
636,0,53,1,tarde
637,0,6,0,noche
638,0,5,0,noche
639,0,0,0,noche
640,0,2,0,noche
641,0,0,0,noche
642,0,7,0,noche
643,0,3,0,noche
644,0,0,0,noche
645,0,12,0,noche
646,0,3,0,noche
647,0,23,1,noche
648,0,0,0,noche
649,0,84,1,mañana
650,0,14,0,noche
651,0,0,0,noche
652,0,14,0,noche
653,0,3,0,noche
654,0,44,1,noche
655,0,0,0,noche
656,0,10,0,noche
657,0,0,0,noche
658,0,4,0,noche
659,0,0,0,noche
660,0,6,0,noche
661,0,32,1,noche
662,0,2,0,noche
663,0,12,0,noche
664,0,0,0,noche
665,0,9,0,noche
666,0,0,0,noche
667,0,6,0,noche
668,0,22,1,noche
669,0,5,0,noche
670,0,0,0,noche
671,0,0,0,noche
672,0,27,1,noche
673,0,15,0,noche
674,0,6,0,noche
675,0,90,1,noche
676,0,6,0,noche
677,0,44,1,mañana
678,0,8,0,noche
679,0,11,0,noche
680,0,0,0,noche
681,0,9,0,noche
682,0,3,0,noche
683,0,3,0,noche
684,0,14,0,noche
685,0,9,0,noche
686,0,0,0,noche
687,0,8,0,noche
688,0,8,0,noche
689,0,7,0,noche
690,0,0,0,mañana
691,0,2,0,mañana
692,0,8,0,mañana
693,0,0,0,noche
694,0,0,0,noche
695,0,0,0,noche
696,1,2,0,mañana
697,1,2,0,mañana
698,1,0,0,noche
699,1,1,0,mañana
700,1,0,0,noche
701,1,0,0,noche
702,1,85,1,noche
703,1,0,0,noche
704,1,0,0,noche
705,1,0,0,noche
706,1,0,0,noche
707,1,0,0,noche
708,1,90,1,noche
709,1,0,0,noche
710,1,0,0,noche
711,0,5,0,noche
712,0,3,0,noche
713,0,9,0,noche
714,0,0,0,noche
715,0,2,0,noche
716,0,0,0,noche
717,0,18,1,noche
718,1,10,0,noche
719,1,2,0,noche
720,1,4,0,noche
721,1,14,0,noche
722,1,9,0,noche
723,1,8,0,noche
724,1,3,0,noche
725,1,0,0,noche
726,1,3,0,noche
727,1,10,0,noche
728,1,21,1,noche
729,1,81,1,mañana
730,1,3,0,noche
731,1,0,0,noche
732,1,0,0,noche
733,1,30,1,noche
734,1,0,0,noche
735,1,20,1,noche
736,1,5,0,noche
737,0,10,0,noche
738,0,9,0,noche
739,0,7,0,noche
740,0,0,0,noche
741,0,9,0,noche
742,1,9,0,noche
743,1,10,0,noche
744,1,20,1,noche
745,1,1,0,noche
746,1,10,0,noche
747,1,0,0,noche
748,1,1,0,noche
749,1,7,0,noche
750,1,0,0,noche
751,1,0,0,noche
752,1,4,0,noche
753,1,0,0,noche
754,1,4,0,noche
755,1,5,0,noche
756,0,0,0,noche
757,0,0,0,noche
758,0,0,0,noche
759,0,16,1,noche
760,0,0,0,mañana
761,0,0,0,noche
762,0,0,0,noche
763,0,0,0,noche
764,0,0,0,noche
765,0,0,0,noche
766,0,5,0,mañana
767,0,6,0,mañana
768,0,0,0,noche
769,0,0,0,noche
770,0,2,0,mañana
771,0,0,0,noche
772,0,0,0,noche
773,0,0,0,noche
774,0,0,0,mañana
775,0,0,0,noche
776,0,1,0,mañana
777,0,41,1,noche
778,0,7,0,mañana
779,0,0,0,mañana
780,0,0,0,noche
781,0,0,0,noche
782,0,0,0,noche
783,0,0,0,noche
784,0,6,0,mañana
785,0,0,0,noche
786,0,12,0,noche
787,0,11,0,noche
788,0,8,0,noche
789,0,8,0,noche
790,0,50,1,noche
791,0,0,0,noche
792,0,5,0,noche
793,0,0,0,noche
794,0,5,0,noche
795,0,3,0,noche
796,0,10,0,noche
797,0,3,0,noche
798,0,0,0,noche
799,0,0,0,noche
800,0,4,0,noche
801,0,11,0,noche
802,0,5,0,noche
803,0,6,0,noche
804,0,0,0,noche
805,0,4,0,noche
806,0,5,0,noche
807,0,0,0,noche
808,0,19,1,noche
809,0,5,0,noche
810,0,3,0,noche
811,0,24,1,noche
812,0,0,0,noche
813,0,6,0,noche
814,0,0,0,noche
815,0,0,0,noche
816,0,14,0,noche
817,0,3,0,noche
818,0,18,1,noche
819,0,7,0,noche
820,0,0,0,noche
821,0,10,0,noche
822,0,4,0,noche
823,0,28,1,noche
824,0,7,0,noche
825,0,3,0,noche
826,0,5,0,noche
827,0,50,1,noche
828,0,0,0,noche
829,0,3,0,noche
830,0,13,0,noche
831,0,0,0,noche
832,0,5,0,noche
833,0,23,1,noche
834,0,13,0,noche
835,0,4,0,noche
836,0,49,1,noche
837,0,3,0,mañana
838,0,30,1,mañana
839,0,0,0,noche
840,0,0,0,noche
841,0,27,1,noche
842,0,0,0,noche
843,0,4,0,noche
844,0,0,0,noche
845,0,0,0,noche
846,0,34,1,noche
847,0,1,0,noche
848,0,0,0,noche
849,0,0,0,noche
850,0,0,0,noche
851,0,0,0,noche
852,0,0,0,noche
853,0,0,0,noche
854,0,7,0,noche
855,0,1,0,noche
856,0,1,0,noche
857,0,8,0,noche
858,0,4,0,noche
859,0,112,1,noche
860,0,7,0,noche
861,0,3,0,noche
862,0,2,0,noche
863,0,0,0,noche
864,0,0,0,noche
865,0,10,0,noche
866,0,0,0,noche
867,0,0,0,noche
868,0,0,0,noche
869,0,0,0,noche
870,0,5,0,noche
871,0,1,0,noche
872,0,0,0,noche
873,0,22,1,noche
874,0,0,0,noche
875,0,42,1,noche
876,0,5,0,noche
877,0,31,1,noche
878,0,3,0,noche
879,0,19,1,noche
880,0,4,0,noche
881,0,10,0,noche
882,0,27,1,noche
883,0,100,1,noche
884,0,32,1,noche
885,0,30,1,noche
886,0,21,1,noche
887,0,13,0,noche
888,0,8,0,noche
889,0,34,1,noche
890,0,6,0,noche
891,0,10,0,noche
892,0,19,1,noche
893,0,6,0,noche
894,0,13,0,noche
895,0,6,0,noche
896,0,0,0,noche
897,0,0,0,noche
898,0,5,0,noche
899,0,3,0,noche
900,0,0,0,noche
901,0,0,0,noche
902,0,22,1,noche
903,0,118,1,noche
904,0,1,0,noche
905,0,0,0,noche
906,0,0,0,noche
907,0,0,0,noche
908,0,7,0,noche
909,0,0,0,noche
910,0,29,1,mañana
911,0,13,0,noche
912,0,5,0,noche
913,0,5,0,noche
914,0,8,0,noche
915,0,2,0,noche
916,0,0,0,noche
917,0,8,0,noche
918,0,1,0,mañana
919,1,0,0,noche
920,1,0,0,noche
921,1,3,0,noche
922,1,51,1,noche
923,1,0,0,noche
924,1,3,0,noche
925,1,0,0,noche
926,1,1,0,noche
927,1,0,0,noche
928,1,0,0,noche
929,1,3,0,noche
930,1,0,0,noche
931,1,0,0,noche
932,1,0,0,noche
933,0,12,0,noche
934,0,13,0,noche
935,0,0,0,noche
936,0,0,0,noche
937,0,0,0,noche
938,0,0,0,noche
939,0,0,0,noche
940,0,3,0,noche
941,0,0,0,noche
942,0,0,0,noche
943,0,3,0,noche
944,0,0,0,noche
945,0,0,0,noche
946,1,0,0,noche
947,1,0,0,noche
948,1,6,0,noche
949,1,0,0,noche
950,1,0,0,noche
951,1,0,0,noche
952,1,5,0,noche
953,1,0,0,noche
954,1,18,1,mañana
955,1,2,0,noche
956,1,0,0,noche
957,1,0,0,noche
958,1,0,0,noche
959,1,2,0,noche
960,1,0,0,noche
961,1,0,0,noche
962,1,17,1,mañana
963,1,2,0,noche
964,0,9,0,noche
965,0,2,0,noche
966,0,3,0,noche
967,0,20,1,noche
968,0,0,0,noche
969,0,31,1,noche
970,0,3,0,noche
971,0,2,0,noche
972,0,4,0,noche
973,0,9,0,noche
974,0,44,1,noche
975,0,11,0,noche
976,1,21,1,noche
977,1,23,1,noche
978,1,24,1,noche
979,1,21,1,noche
980,1,0,0,noche
981,1,8,0,noche
982,1,24,1,noche
983,1,30,1,noche
984,1,0,0,noche
985,1,9,0,noche
986,1,6,0,noche
987,1,4,0,noche
988,1,32,1,noche
989,1,18,1,noche
990,1,10,0,noche
991,1,3,0,noche
992,1,0,0,noche
993,0,17,1,noche
994,0,0,0,noche
995,0,0,0,noche
996,0,17,1,noche
997,0,6,0,noche
998,0,19,1,noche
999,0,2,0,noche
1000,0,9,0,noche
1001,0,0,0,noche
1002,1,0,0,noche
1003,1,2,0,noche
1004,1,6,0,noche
1005,1,17,1,noche
1006,1,35,1,noche
1007,1,20,1,noche
1008,1,8,0,noche
1009,1,31,1,mañana
1010,1,4,0,noche
1011,1,62,1,noche
1012,1,16,1,noche
1013,1,11,0,noche
1014,1,0,0,noche
1015,1,2,0,noche
1016,1,1,0,noche
1017,1,0,0,noche
1018,1,10,0,noche
1019,1,20,1,noche
1020,1,11,0,noche
1021,1,24,1,noche
1022,1,0,0,noche
1023,1,0,0,noche
1024,1,14,0,noche
1025,1,5,0,noche
1026,1,0,0,noche
1027,1,25,1,noche
1028,1,1,0,noche
1029,1,0,0,noche
1030,1,0,0,noche
1031,1,13,0,noche
1032,1,0,0,noche
1033,1,2,0,noche
1034,1,0,0,noche
1035,1,0,0,noche
1036,1,0,0,noche
1037,1,3,0,noche
1038,1,0,0,noche
1039,1,5,0,noche
1040,1,0,0,noche
1041,1,0,0,noche
1042,1,0,0,noche
1043,1,0,0,noche
1044,1,62,1,noche
1045,1,2,0,noche
1046,1,0,0,noche
1047,1,0,0,noche
1048,1,7,0,noche
1049,1,3,0,noche
1050,1,0,0,noche
1051,1,0,0,noche
1052,1,0,0,noche
1053,1,0,0,noche
1054,1,0,0,noche
1055,1,1,0,noche
1056,1,4,0,noche
1057,1,17,1,noche
1058,1,0,0,noche
1059,1,3,0,noche
1060,1,0,0,noche
1061,1,0,0,noche
1062,1,0,0,noche
1063,1,0,0,noche
1064,1,0,0,noche
1065,1,0,0,noche
1066,1,0,0,noche
1067,1,21,1,noche
1068,1,0,0,noche
1069,1,0,0,noche
1070,1,0,0,noche
1071,1,0,0,noche
1072,1,0,0,noche
1073,1,0,0,noche
1074,1,0,0,noche
1075,1,0,0,noche
1076,0,0,0,noche
1077,0,0,0,noche
1078,0,0,0,noche
1079,0,0,0,noche
1080,0,0,0,noche
1081,0,0,0,noche
1082,0,0,0,noche
1083,0,0,0,noche
1084,0,0,0,noche
1085,0,0,0,noche
1086,0,0,0,noche
1087,0,0,0,noche
1088,0,0,0,noche
1089,0,0,0,noche
1090,0,0,0,noche
1091,0,0,0,noche
1092,0,0,0,noche
1093,0,0,0,noche
1094,0,0,0,noche
1095,0,0,0,noche
1096,0,0,0,noche
1097,0,6,0,noche
1098,0,0,0,noche
1099,0,0,0,noche
1100,0,0,0,noche
1101,0,0,0,noche
1102,0,0,0,noche
1103,0,5,0,noche
1104,0,1,0,noche
1105,0,1,0,noche
1106,0,10,0,noche
1107,0,12,0,noche
1108,0,6,0,noche
1109,0,8,0,noche
1110,0,4,0,noche
1111,0,1,0,noche
1112,0,8,0,noche
1113,0,8,0,noche
1114,0,9,0,noche
1115,0,5,0,noche
1116,0,4,0,noche
1117,0,0,0,noche
1118,0,6,0,noche
1119,0,12,0,noche
1120,0,0,0,noche
1121,0,0,0,noche
1122,0,0,0,noche
1123,0,0,0,noche
1124,0,35,1,mañana
1125,0,0,0,noche
1126,0,0,0,noche
1127,0,36,1,mañana
1128,0,0,0,noche
1129,0,0,0,noche
1130,0,0,0,noche
1131,0,0,0,noche
1132,0,0,0,noche
1133,0,0,0,noche
1134,0,0,0,noche
1135,0,0,0,noche
1136,0,0,0,noche
1137,0,6,0,noche
1138,0,16,1,noche
1139,0,0,0,noche
1140,0,0,0,noche
1141,0,0,0,noche
1142,0,0,0,noche
1143,0,0,0,noche
1144,0,0,0,noche
1145,0,0,0,noche
1146,0,22,1,noche
1147,0,0,0,noche
1148,0,0,0,noche
1149,0,0,0,noche
1150,0,2,0,noche
1151,0,32,1,mañana
1152,0,4,0,noche
1153,0,0,0,noche
1154,0,0,0,noche
1155,0,0,0,noche
1156,0,0,0,noche
1157,0,0,0,noche
1158,0,0,0,noche
1159,0,0,0,noche
1160,0,0,0,noche
1161,0,0,0,noche
1162,0,0,0,noche
1163,0,0,0,noche
1164,0,0,0,noche
1165,0,22,1,noche
1166,0,0,0,noche
1167,0,0,0,noche
1168,0,0,0,noche
1169,0,0,0,noche
1170,0,0,0,noche
1171,0,0,0,noche
1172,0,0,0,noche
1173,0,90,1,mañana
1174,0,0,0,noche
1175,0,0,0,noche
1176,0,0,0,noche
1177,0,0,0,noche
1178,0,0,0,noche
1179,0,0,0,noche
1180,0,0,0,noche
1181,0,80,1,noche
1182,0,4,0,noche
1183,0,27,1,noche
1184,0,0,0,noche
1185,0,0,0,noche
1186,0,0,0,noche
1187,0,0,0,noche
1188,0,0,0,noche
1189,0,0,0,noche
1190,0,0,0,noche
1191,0,110,1,noche
1192,0,20,1,noche
1193,0,0,0,noche
1194,0,0,0,noche
1195,0,0,0,noche
1196,0,1,0,noche
1197,0,0,0,noche
1198,0,0,0,noche
1199,0,0,0,noche
1200,0,0,0,noche
1201,0,0,0,noche
1202,0,0,0,noche
1203,0,0,0,noche
1204,0,3,0,noche
1205,0,0,0,noche
1206,1,0,0,noche
1207,1,0,0,noche
1208,1,0,0,noche
1209,1,25,1,noche
1210,1,0,0,noche
1211,1,6,0,noche
1212,1,0,0,noche
1213,1,91,1,mañana
1214,1,68,1,noche
1215,1,0,0,noche
1216,1,0,0,noche
1217,1,0,0,noche
1218,1,0,0,noche
1219,1,0,0,noche
1220,1,0,0,noche
1221,1,0,0,noche
1222,1,0,0,noche
1223,1,0,0,noche
1224,0,0,0,noche
1225,0,0,0,noche
1226,0,0,0,noche
1227,0,0,0,noche
1228,0,0,0,noche
1229,0,0,0,noche
